Day,State,Status,N
9,NT,Healed,27
9,NT,Suscep,359537
9,NT,NoSymp,3
9,NT,InSymp,13
9,NT,Critic,0
9,NT,Isolated,3
9,OTH,Killed,0
9,OTH,Healed,0
9,OTH,Suscep,3246
9,OTH,NoSymp,0
9,OTH,InSymp,0
9,OTH,Critic,0
9,OTH,Isolated,0
10,NSW,Killed,42
10,NSW,Healed,2788
10,NSW,Suscep,6856290
10,NSW,NoSymp,2858
10,NSW,InSymp,2333
10,NSW,Critic,207
10,NSW,Isolated,1172
10,VIC,Killed,18
10,VIC,Healed,1343
10,VIC,Suscep,5450318
10,VIC,NoSymp,789
10,VIC,InSymp,310
10,VIC,Critic,23
10,VIC,Isolated,63
10,QLD,Killed,7
10,QLD,Healed,1011
10,QLD,Suscep,4255726
10,QLD,NoSymp,178
10,QLD,InSymp,162
10,QLD,Critic,19
10,QLD,Isolated,245
10,WA,Killed,9
10,WA,Healed,533
10,WA,Suscep,1541154
10,WA,NoSymp,25
10,WA,InSymp,42
10,WA,Critic,5
10,WA,Isolated,19
10,SA,Killed,4
10,SA,Healed,428
10,SA,Suscep,2239583
10,SA,NoSymp,14
10,SA,InSymp,25
10,SA,Critic,2
10,SA,Isolated,7
10,TAS,Killed,14
10,TAS,Healed,194
10,TAS,Suscep,459510
10,TAS,NoSymp,304
10,TAS,InSymp,179
10,TAS,Critic,19
10,TAS,Isolated,146
10,ACT,Killed,3
10,ACT,Healed,103
10,ACT,Suscep,183832
10,ACT,NoSymp,0
10,ACT,InSymp,0
10,ACT,Critic,0
10,ACT,Isolated,0
10,NT,Killed,0
10,NT,Healed,27
10,NT,Suscep,359537
10,NT,NoSymp,1
10,NT,InSymp,15
10,NT,Critic,0
10,NT,Isolated,3
10,OTH,Killed,0
10,OTH,Healed,0
10,OTH,Suscep,3246
10,OTH,NoSymp,0
10,OTH,InSymp,0
10,OTH,Critic,0
10,OTH,Isolated,0
11,NSW,Killed,42
11,NSW,Healed,2995
11,NSW,Suscep,6855717
11,NSW,NoSymp,2684
11,NSW,InSymp,2020
11,NSW,Critic,188
11,NSW,Isolated,2044
11,VIC,Killed,18
11,VIC,Healed,1361
11,VIC,Suscep,5450221
11,VIC,NoSymp,654
11,VIC,InSymp,297
11,VIC,Critic,23
11,VIC,Isolated,290
11,QLD,Killed,7
11,QLD,Healed,1042
11,QLD,Suscep,4255599
11,QLD,NoSymp,255
11,QLD,InSymp,142
11,QLD,Critic,14
11,QLD,Isolated,289
