Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,74,105743,105743,352-362 Lonsdale Street,Melbourne (CBD),Noodle Villa,4511,Cafes and Restaurants,Seats - Indoor,84,144.96175,-37.81214,"(-37.81214255, 144.9617512)"
2018,46,105964,105964,188-194 Little Collins Street,Melbourne (CBD),Sarti Restaurant & Bar,4511,Cafes and Restaurants,Seats - Indoor,65,144.96758,-37.81391,"(-37.81390784, 144.9675812)"
2018,46,105964,105964,188-194 Little Collins Street,Melbourne (CBD),Sarti Restaurant & Bar,4511,Cafes and Restaurants,Seats - Outdoor,40,144.96758,-37.81391,"(-37.81390784, 144.9675812)"
2018,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),3 Lt Monkeys,4512,Takeaway Food Services,Seats - Indoor,8,144.96560,-37.81660,"(-37.81660364, 144.9655965)"
2018,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),3 Lt Monkeys,4512,Takeaway Food Services,Seats - Outdoor,4,144.96560,-37.81660,"(-37.81660364, 144.9655965)"
2018,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Polepole Bar,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,144.96560,-37.81484,"(-37.81483564, 144.9656017)"
2018,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,4520,"Pubs, Taverns and Bars",Seats - Indoor,55,144.96560,-37.81660,"(-37.81660364, 144.9655965)"
2018,64,105868,105868,394-400 Little Bourke Street,Melbourne (CBD),Spud Bar,4512,Takeaway Food Services,Seats - Indoor,16,144.96090,-37.81366,"(-37.81365654, 144.9609009)"
2018,15,109263,109263,31-41 Swanston Street,Melbourne (CBD),Subway,4511,Cafes and Restaurants,Seats - Indoor,33,144.96670,-37.81674,"(-37.81674246, 144.966704)"
2018,66,105690,105690,203-207 Lonsdale Street,Melbourne (CBD),Carribbean Grilled Fish by China Chilli,4511,Cafes and Restaurants,Seats - Indoor,80,144.96635,-37.81133,"(-37.81133136, 144.966354)"
2018,66,105690,105690,203-207 Lonsdale Street,Melbourne (CBD),Carribbean Grilled Fish by China Chilli,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96635,-37.81133,"(-37.81133136, 144.966354)"
2018,66,109952,109952,7-9 Waratah Place,Melbourne (CBD),New Kum Den Chinese Restaurant,4511,Cafes and Restaurants,Seats - Indoor,70,144.96699,-37.81162,"(-37.81162489, 144.9669903)"
2018,66,109952,109952,7-9 Waratah Place,Melbourne (CBD),Manchuria,4511,Cafes and Restaurants,Seats - Indoor,45,144.96699,-37.81162,"(-37.81162489, 144.9669903)"
2018,66,109953,109953,11-15 Waratah Place,Melbourne (CBD),Hot Space,4511,Cafes and Restaurants,Seats - Indoor,54,144.96694,-37.81150,"(-37.81150252, 144.9669364)"
2018,64,105870,105870,380-384 Little Bourke Street,Melbourne (CBD),French Saloon,4511,Cafes and Restaurants,Seats - Indoor,50,144.96133,-37.81354,"(-37.81354352, 144.9613286)"
2018,64,105870,105870,380-384 Little Bourke Street,Melbourne (CBD),French Saloon,4511,Cafes and Restaurants,Seats - Outdoor,14,144.96133,-37.81354,"(-37.81354352, 144.9613286)"
2018,24,110765,110765,302-308 Flinders Lane,Melbourne (CBD),Yum Yum Dumplings,4511,Cafes and Restaurants,Seats - Indoor,70,144.96390,-37.81719,"(-37.81718534, 144.9638997)"
