Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2018,730,110401,110401,334-342 City Road,Southbank,Urban Central Accomodation / bar334,334,144.95735,-37.82784,"(-37.82783772, 144.9573529)"
2018,803,597190,110477,8 Whiteman Street,Southbank,Club 23,450,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,752,108653,110733,100 St Kilda Road,Southbank,the Barre,300,144.96817,-37.82095,"(-37.82094753, 144.9681703)"
2018,808,110385,110385,174-184 City Road,Southbank,Rumour Restaurant Bar & Lounge,100,144.96191,-37.82384,"(-37.82383574, 144.9619051)"
2018,807,108054,108054,40-56 Queens Bridge Street,Southbank,Mesh/Tonic Bar,300,144.95972,-37.82398,"(-37.82398071, 144.9597217)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Co,560,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,801,110335,110335,1-9 Southbank Boulevard,Southbank,Left Bank Melbourne,400,144.96286,-37.82104,"(-37.82103935, 144.9628581)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Jackpot Bar,80,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Atrium Bar,100,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Velvet Bar,100,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,806,110343,640947,27-45 Whiteman Street,Southbank,Kingpin Bowling Crown / Playtime,347,144.95861,-37.82576,"(-37.82575614, 144.9586074)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Therapy,600,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,The Waiting Room,120,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic,508,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Lagerfield Bar & Beer Garden,650,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,803,111175,110477,8 Whiteman Street,Southbank,Crown Entertainment Complex,320,144.95865,-37.82316,"(-37.8231616, 144.95865)"
2018,804,110542,110484,20-30 Convention Centre Place,Southbank,West Village NYC,150,144.95245,-37.82543,"(-37.82542999, 144.9524499)"
2018,861,102503,102503,161-173 Domain Road,South Yarra,Botanical Hotel,245,144.98170,-37.83432,"(-37.8343169, 144.9817008)"
2018,710,108617,108617,375-385 St Kilda Road,Melbourne (Remainder),Royce Hotel,120,144.97549,-37.83508,"(-37.83508258, 144.9754922)"
2018,419,108876,108876,573-579 Spencer Street,West Melbourne (Residential),McMahons Hotel,160,144.94699,-37.80741,"(-37.80740716, 144.9469876)"
2018,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),The Drunken Poet Pty Ltd,50,144.95550,-37.80667,"(-37.80666768, 144.9554976)"
2018,441,108856,108856,475-477 Spencer Street,West Melbourne (Residential),Hotel Spencer Bar & Grill,150,144.94925,-37.80957,"(-37.80956896, 144.94925)"
